id,ratio,TP,Cell_Area,Nuclear_Mean,Cell_Mean,ratio_new,time,fruc,obs,frud_ic,obs_id,fruc_scale_fac,fruc_mM
15,1.1577203538221414,17,5.670015,2370.65625,2047.693333,0.15772035382214142,8.5,2,0.15772035382214142,2,1,2,110
15,1.1798838155160924,18,5.670015,2407.8125,2040.72,0.17988381551609234,9,2,0.17988381551609234,2,1,2,110
15,1.149936053441939,19,5.670015,2315.28125,2013.4,0.14993605344193894,9.5,2,0.14993605344193894,2,1,2,110
15,1.1570654535008558,20,5.670015,2315.40625,2001.102222,0.1570654535008557,10,2,0.1570654535008557,2,1,2,110
15,1.2286616721253252,21,5.670015,2458.076923,2000.613333,0.2286616721253252,10.5,2,0.22866167212532518,2,1,2,110
15,1.2326540298832402,22,5.670015,2450.423077,1987.924444,0.23265402988324033,11,2,0.23265402988324035,2,1,2,110
15,1.1999793534314547,23,5.670015,2378.423077,1982.053333,0.19997935343145473,11.5,2,0.19997935343145473,2,1,2,110
15,1.2026290084770639,24,5.670015,2358.088235,1960.777778,0.20262900847706378,12,2,0.2026290084770638,2,1,2,110
15,1.1287583556528036,25,5.670015,2201.705882,1950.555556,0.12875835565280366,12.5,2,0.12875835565280364,2,1,2,110
15,1.1605885911932423,26,5.670015,2274.088235,1959.426667,0.16058859119324226,13,2,0.16058859119324226,2,1,2,110
15,1.1940000526393464,27,5.670015,2312.088235,1936.422222,0.19400005263934647,13.5,2,0.19400005263934647,2,1,2,110
15,1.1733018341926063,28,5.670015,2266.647059,1931.853333,0.1733018341926063,14,2,0.1733018341926063,2,1,2,110
15,1.1757623769146424,29,5.670015,2251.558824,1914.977778,0.17576237691464233,14.5,2,0.17576237691464233,2,1,2,110
15,1.187779213410379,30,5.670015,2244.411765,1889.586667,0.187779213410379,15,2,0.187779213410379,2,1,2,110
15,1.161744820255627,31,5.670015,2214.647059,1906.311111,0.16174482025562717,15.5,2,0.16174482025562717,2,1,2,110
15,1.1583508573616301,32,5.670015,2192.382353,1892.675556,0.15835085736163015,16,2,0.15835085736163015,2,1,2,110
15,1.1737061050887256,33,5.670015,2194.147059,1869.417778,0.1737061050887256,16.5,2,0.17370610508872564,2,1,2,110
16,1.0268547807119097,0,11.289629,2157.921569,2101.486607,0.026854780711909755,0,2,0.02685478071190975,2,1,2,110
16,1.0196364974976926,1,11.289629,2149.254902,2107.863839,0.01963649749769251,0.5,2,0.019636497497692508,2,1,2,110
16,1.0238348163738977,2,11.289629,2192.313725,2141.276786,0.02383481637389781,1,2,0.023834816373897807,2,1,2,110
16,1.032802915958856,3,11.289629,2226.568627,2155.850446,0.03280291595885598,1.5,2,0.03280291595885598,2,1,2,110
16,1.1492844418559516,4,11.289629,2504.75,2179.399554,0.14928444185595163,2,2,0.14928444185595163,2,1,2,110
16,1.211465595977008,5,11.289629,2682.75,2214.466518,0.21146559597700804,2.5,2,0.21146559597700804,2,1,2,110
16,1.2263172104088842,6,11.289629,2726.519231,2223.339286,0.2263172104088842,3,2,0.22631721040888417,2,1,2,110
16,1.2385015923114375,7,11.289629,2750.192308,2220.580357,0.2385015923114375,3.5,2,0.23850159231143747,2,1,2,110
16,1.2352053552208295,8,11.289629,2712.519231,2196.006696,0.23520535522082958,4,2,0.2352053552208296,2,1,2,110
16,1.2178521632255663,9,11.289629,2658.038462,2182.5625,0.21785216322556628,4.5,2,0.21785216322556628,2,1,2,110
16,1.2597910173623723,10,11.289629,2709.613636,2150.84375,0.25979101736237237,5,2,0.25979101736237237,2,1,2,110
16,1.2686828868514524,11,11.289629,2712.704545,2138.205357,0.26868288685145236,5.5,2,0.26868288685145236,2,1,2,110
16,1.2755797713538661,12,11.289629,2713.568182,2127.321429,0.2755797713538662,6,2,0.2755797713538662,2,1,2,110
16,1.248553011981462,13,11.289629,2606.318182,2087.470982,0.24855301198146199,6.5,2,0.24855301198146199,2,1,2,110
16,1.2510224026640349,14,11.289629,2594.522727,2073.921875,0.2510224026640348,7,2,0.2510224026640348,2,1,2,110
16,1.227423938098845,15,11.289629,2532.545455,2063.301339,0.22742393809884492,7.5,2,0.2274239380988449,2,1,2,110
16,1.2244081908497344,16,11.289629,2513.272727,2052.642857,0.22440819084973448,8,2,0.22440819084973448,2,1,2,110
16,1.2697249826751311,17,11.289629,2604.795455,2051.464286,0.26972498267513106,8.5,2,0.26972498267513106,2,1,2,110
16,1.237857535966613,18,11.289629,2522.681818,2037.941964,0.237857535966613,9,2,0.237857535966613,2,1,2,110
16,1.2031709415780487,19,11.289629,2398.891892,1993.808036,0.2031709415780488,9.5,2,0.20317094157804877,2,1,2,110
16,1.2098425592209212,20,11.289629,2424.72973,2004.169643,0.20984255922092124,10,2,0.20984255922092124,2,1,2,110
16,1.2094912503340685,21,10.029626,2470.513514,2042.605528,0.20949125033406849,10.5,2,0.20949125033406849,2,1,2,110
16,1.2177068179767643,22,11.289629,2426.324324,1992.535714,0.21770681797676428,11,2,0.21770681797676425,2,1,2,110
16,1.2216959772056322,23,11.289629,2411.837838,1974.171875,0.22169597720563206,11.5,2,0.22169597720563203,2,1,2,110
16,1.2021472860234355,24,11.289629,2343.162162,1949.147321,0.20214728602343557,12,2,0.20214728602343554,2,1,2,110
16,1.20145048404943,25,11.289629,2335.378378,1943.799107,0.20145048404943003,12.5,2,0.20145048404943003,2,1,2,110
16,1.1970669470244393,26,11.289629,2316.108108,1934.819196,0.19706694702443917,13,2,0.1970669470244392,2,1,2,110
16,1.1879548462064824,27,11.289629,2278.081081,1917.649554,0.18795484620648248,13.5,2,0.18795484620648248,2,1,2,110
16,1.0840288115581755,28,10.029626,2214.243243,2042.605528,0.08402881155817563,14,2,0.08402881155817561,2,1,2,110
16,1.1679820989732275,29,11.289629,2220.081081,1900.783482,0.16798209897322738,14.5,2,0.16798209897322736,2,1,2,110
16,1.1804704716054006,30,11.289629,2226.567568,1886.169643,0.18047047160540056,15,2,0.18047047160540056,2,1,2,110
16,1.1703949459166187,31,11.289629,2201.72973,1881.185268,0.17039494591661883,15.5,2,0.1703949459166188,2,1,2,110
16,1.1604946820492092,32,11.289629,2159.918919,1861.205357,0.16049468204920933,16,2,0.16049468204920933,2,1,2,110
16,1.1613473380241115,33,11.289629,2155.108108,1855.696429,0.1613473380241116,16.5,2,0.16134733802411158,2,1,2,110
18,1.057638763881573,4,9.676825,2130.235955,2014.143229,0.05763876388157303,2,2,0.05763876388157303,2,1,2,110
18,1.13992089781376,5,9.676825,2314.089888,2030.044271,0.13992089781376005,2.5,2,0.13992089781376005,2,1,2,110
18,1.1721318699388812,6,9.676825,2408.898876,2055.143229,0.17213186993888124,3,2,0.17213186993888124,2,1,2,110
18,1.1880808316193514,7,9.676825,2436.224719,2050.554688,0.18808083161935138,3.5,2,0.18808083161935138,2,1,2,110
18,1.2189519732164869,8,9.676825,2489.604651,2042.414062,0.21895197321648682,4,2,0.21895197321648682,2,1,2,110
18,1.1831974902723472,9,9.676825,2409.627907,2036.539062,0.18319749027234714,4.5,2,0.18319749027234714,2,1,2,110
18,1.1804319152375187,10,9.676825,2386.209302,2021.471354,0.18043191523751873,5,2,0.18043191523751873,2,1,2,110
18,1.1899471822334275,11,9.676825,2389.395349,2007.984375,0.18994718223342744,5.5,2,0.18994718223342744,2,1,2,110
18,1.1742572483373694,12,9.676825,2339.860465,1992.630208,0.17425724833736947,6,2,0.17425724833736947,2,1,2,110
18,1.2350398198839,13,9.676825,2437.328571,1973.481771,0.23503981988390002,6.5,2,0.23503981988390002,2,1,2,110
18,1.2041300166557085,14,9.676825,2361.471429,1961.143229,0.2041300166557086,7,2,0.20413001665570862,2,1,2,110
18,1.2085159059101036,15,9.676825,2365.128571,1957.052083,0.20851590591010355,7.5,2,0.20851590591010355,2,1,2,110
18,1.2036940960094216,16,9.676825,2335.157143,1939.992188,0.20369409600942165,8,2,0.20369409600942165,2,1,2,110
18,1.1968858020964375,17,9.676825,2315.771429,1934.830729,0.1968858020964375,8.5,2,0.19688580209643752,2,1,2,110
18,1.2000888267208478,18,9.676825,2328.128571,1939.963542,0.20008882672084785,9,2,0.20008882672084788,2,1,2,110
18,1.17546101515412,19,9.676825,2243.385714,1908.515625,0.1754610151541201,9.5,2,0.17546101515412008,2,1,2,110
18,1.171710234558338,20,9.676825,2245.271429,1916.234375,0.17171023455833784,10,2,0.17171023455833784,2,1,2,110
18,1.1563064775192655,21,9.676825,2189.957143,1893.924479,0.15630647751926546,10.5,2,0.15630647751926544,2,1,2,110
18,1.1365984684580008,22,9.676825,2141.842857,1884.432292,0.1365984684580008,11,2,0.1365984684580008,2,1,2,110
18,1.144252943594686,23,9.676825,2151.928571,1880.640625,0.14425294359468593,11.5,2,0.14425294359468593,2,1,2,110
18,1.1262009921218812,24,9.676825,2089.657143,1855.492188,0.12620099212188113,12,2,0.12620099212188113,2,1,2,110
18,1.1266128386304683,25,9.676825,2086.657143,1852.151042,0.12661283863046843,12.5,2,0.12661283863046846,2,1,2,110
18,1.1311429677704563,26,9.676825,2091.657143,1849.153646,0.1311429677704564,13,2,0.1311429677704564,2,1,2,110
18,1.1241060515335364,27,9.676825,2067.128571,1838.908854,0.1241060515335363,13.5,2,0.12410605153353632,2,1,2,110
18,1.126073119247508,28,9.676825,2067.071429,1835.645833,0.12607311924750794,14,2,0.12607311924750794,2,1,2,110
18,1.116146747282247,29,9.676825,2030.3,1819.026042,0.11614674728224698,14.5,2,0.116146747282247,2,1,2,110
18,1.1456993341926178,30,11.894431,2043.728571,1783.826271,0.1456993341926178,15,2,0.1456993341926178,2,1,2,110
18,1.0980563340749387,31,9.676825,1981.685714,1804.721354,0.09805633407493883,15.5,2,0.09805633407493883,2,1,2,110
18,1.1187789987597851,32,11.894431,1979.342857,1769.199153,0.11877899875978522,16,2,0.11877899875978523,2,1,2,110
18,1.097670292269097,33,9.676825,1968.171429,1793.044271,0.09767029226909703,16.5,2,0.09767029226909701,2,1,2,110
19,1.0229943724495711,0,8.668823,2014.683333,1969.398256,0.022994372449571216,0,2,0.02299437244957122,2,1,2,110
19,1.0128854024561424,2,8.668823,1968.866667,1943.819767,0.012885402456142453,1,2,0.012885402456142453,2,1,2,110
19,1.0841702568169422,4,7.83722,2139.015625,1972.951768,0.08417025681694217,2,2,0.08417025681694217,2,1,2,110
19,1.1534466872296019,5,7.83722,2372.625,2056.987138,0.15344668722960195,2.5,2,0.15344668722960195,2,1,2,110
19,1.306389963761052,6,9.651625,2606.483333,1995.180157,0.30638996376105204,3,2,0.3063899637610521,2,1,2,110
19,1.4019137694957742,7,9.576025,2781.083333,1983.776316,0.4019137694957742,3.5,2,0.4019137694957742,2,1,2,110
19,1.3686060089199301,8,9.651625,2735.72549,1998.913838,0.3686060089199302,4,2,0.3686060089199302,2,1,2,110
19,1.3380432151340105,9,9.651625,2629.261905,1965.005222,0.33804321513401037,4.5,2,0.33804321513401037,2,1,2,110
19,1.3185339891485028,10,9.651625,2541.551724,1927.558747,0.3185339891485029,5,2,0.3185339891485029,2,1,2,110
19,1.2560123256219877,11,9.651625,2414.534483,1922.381201,0.25601232562198784,5.5,2,0.25601232562198784,2,1,2,110
19,1.242961364756965,12,9.651625,2413.960784,1942.104439,0.24296136475696503,6,2,0.24296136475696503,2,1,2,110
19,1.2107438656287024,13,9.651625,2332.392157,1926.412533,0.21074386562870243,6.5,2,0.21074386562870243,2,1,2,110
19,1.2122800976897463,14,8.265622,2360.985714,1947.557927,0.21228009768974632,7,2,0.21228009768974632,2,1,2,110
19,1.2919835451607953,15,9.651625,2456,1900.953003,0.2919835451607953,7.5,2,0.2919835451607953,2,1,2,110
19,1.2880790906711692,16,10.584028,2410.333333,1871.261905,0.28807909067116927,8,2,0.28807909067116927,2,1,2,110
19,1.2567960692481772,17,10.936829,2368.655172,1884.677419,0.25679606924817733,8.5,2,0.25679606924817733,2,1,2,110
19,1.2003176652867467,18,10.936829,2244.5,1869.921659,0.20031766528674658,9,2,0.2003176652867466,2,1,2,110
19,1.203014635755937,19,11.844031,2201.583333,1830.055319,0.20301463575593692,9.5,2,0.2030146357559369,2,1,2,110
19,1.208138427199363,20,11.844031,2214.28125,1832.804255,0.20813842719936287,10,2,0.2081384271993629,2,1,2,110
19,1.1879442180612927,21,13.406435,2126.257143,1789.862782,0.18794421806129263,10.5,2,0.18794421806129266,2,1,2,110
19,1.165844198722746,22,11.844031,2115.471429,1814.540426,0.16584419872274597,11,2,0.16584419872274597,2,1,2,110
19,1.1604237686234642,23,11.844031,2085.8,1797.446809,0.16042376862346425,11.5,2,0.16042376862346427,2,1,2,110
19,1.165017061437191,24,10.584028,2126.566667,1825.352381,0.16501706143719114,12,2,0.16501706143719114,2,1,2,110
19,1.186199931207667,25,10.584028,2150.416667,1812.861905,0.18619993120766692,12.5,2,0.18619993120766692,2,1,2,110
19,1.1410927555012493,26,10.584028,2085.833333,1827.92619,0.14109275550124928,13,2,0.14109275550124928,2,1,2,110
19,1.0884313788455904,27,10.029626,1976.75,1816.145729,0.08843137884559038,13.5,2,0.0884313788455904,2,1,2,110
19,1.112928618561209,28,9.651625,2028.566667,1822.72846,0.11292861856120906,14,2,0.11292861856120905,2,1,2,110
19,1.1202553262556298,29,9.651625,2028.083333,1810.375979,0.12025532625562976,14.5,2,0.12025532625562975,2,1,2,110
19,1.1374983747072487,30,9.651625,2062.866667,1813.511749,0.1374983747072486,15,2,0.1374983747072486,2,1,2,110
19,1.1319970873556966,31,9.651625,2050.516667,1811.415144,0.13199708735569665,15.5,2,0.13199708735569665,2,1,2,110
19,1.1398928101675603,32,9.651625,2059.95,1807.143603,0.13989281016756022,16,2,0.13989281016756022,2,1,2,110
19,1.1135917249858789,33,9.651625,1969.15,1768.287206,0.11359172498587887,16.5,2,0.1135917249858789,2,1,2,110
20,1.0425854643880872,0,14.313637,1915.807692,1837.554577,0.042585464388087114,0,2,0.04258546438808712,2,1,2,110
20,1.0251523048699334,1,14.313637,1810.326923,1765.910211,0.02515230486993327,0.5,2,0.025152304869933275,2,1,2,110
20,1.0171685906660828,2,14.313637,1795.076923,1764.778169,0.01716859066608283,1,2,0.017168590666082832,2,1,2,110
20,1.0105384114635956,3,12.322832,1860.826923,1841.421268,0.010538411463595642,1.5,2,0.010538411463595644,2,1,2,110
20,1.1096692060195992,4,12.322832,2087.716667,1881.386503,0.10966920601959915,2,2,0.10966920601959913,2,1,2,110
